matchId,tier,rank
NA1_5334889037,PLATINUM,I
NA1_5334864837,PLATINUM,I
NA1_5334834690,PLATINUM,I
NA1_5334817452,PLATINUM,I
NA1_5334793117,PLATINUM,I
NA1_5331902352,PLATINUM,I
NA1_5331878408,PLATINUM,I
NA1_5331856511,PLATINUM,I
NA1_5331621815,PLATINUM,I
NA1_5331607996,PLATINUM,I
NA1_5330587650,PLATINUM,I
NA1_5350115885,PLATINUM,I
NA1_5350087775,PLATINUM,I
NA1_5350035178,PLATINUM,I
NA1_5350023009,PLATINUM,I
NA1_5349238706,PLATINUM,I
NA1_5348898418,PLATINUM,I
NA1_5348865229,PLATINUM,I
NA1_5348749503,PLATINUM,I
NA1_5348728540,PLATINUM,I
NA1_5348702484,PLATINUM,I
NA1_5348690586,PLATINUM,I
NA1_5348639962,PLATINUM,I
NA1_5346663880,PLATINUM,I
NA1_5346631010,PLATINUM,I
NA1_5346587671,PLATINUM,I
NA1_5346448309,PLATINUM,I
NA1_5346346855,PLATINUM,I
NA1_5348577295,PLATINUM,I
NA1_5348571890,PLATINUM,I
NA1_5347409641,PLATINUM,I
NA1_5347381979,PLATINUM,I
NA1_5347322750,PLATINUM,I
NA1_5347289566,PLATINUM,I
NA1_5347255295,PLATINUM,I
NA1_5347225261,PLATINUM,I
NA1_5347192930,PLATINUM,I
NA1_5346518557,PLATINUM,I
NA1_5345294728,PLATINUM,I
NA1_5345233106,PLATINUM,I
NA1_5345094555,PLATINUM,I
NA1_5342563193,PLATINUM,I
NA1_5341257638,PLATINUM,I
NA1_5340588250,PLATINUM,I
NA1_5339777748,PLATINUM,I
NA1_5339002028,PLATINUM,I
NA1_5338830756,PLATINUM,I
NA1_5337354244,PLATINUM,I
NA1_5335632799,PLATINUM,I
NA1_5335455980,PLATINUM,I
NA1_5334940561,PLATINUM,I
NA1_5334909489,PLATINUM,I
NA1_5334212594,PLATINUM,I
NA1_5333664044,PLATINUM,I
NA1_5333642148,PLATINUM,I
NA1_5333507860,PLATINUM,I
NA1_5333489224,PLATINUM,I
NA1_5333476765,PLATINUM,I
NA1_5333398703,PLATINUM,I
NA1_5333382587,PLATINUM,I
NA1_5333033179,PLATINUM,I
NA1_5333003044,PLATINUM,I
NA1_5332973722,PLATINUM,I
NA1_5332958803,PLATINUM,I
NA1_5332240327,PLATINUM,I
NA1_5328671036,PLATINUM,I
NA1_5328451256,PLATINUM,I
NA1_5328027594,PLATINUM,I
NA1_5349610586,PLATINUM,I
NA1_5349534028,PLATINUM,I
NA1_5348306491,PLATINUM,I
NA1_5348028069,PLATINUM,I
NA1_5348011673,PLATINUM,I
NA1_5347960085,PLATINUM,I
NA1_5347806725,PLATINUM,I
NA1_5346575346,PLATINUM,I
NA1_5346229486,PLATINUM,I
NA1_5346224455,PLATINUM,I
NA1_5346209550,PLATINUM,I
NA1_5345440772,PLATINUM,I
NA1_5344694396,PLATINUM,I
NA1_5344423293,PLATINUM,I
NA1_5344411273,PLATINUM,I
NA1_5344378490,PLATINUM,I
NA1_5344320809,PLATINUM,I
NA1_5343108510,PLATINUM,I
NA1_5342751218,PLATINUM,I
NA1_5342713009,PLATINUM,I
NA1_5342664157,PLATINUM,I
NA1_5342426820,PLATINUM,I
NA1_5341786741,PLATINUM,I
NA1_5340893872,PLATINUM,I
NA1_5340859788,PLATINUM,I
NA1_5340743251,PLATINUM,I
NA1_5340719190,PLATINUM,I
NA1_5340654394,PLATINUM,I
NA1_5340080777,PLATINUM,I
NA1_5340050303,PLATINUM,I
NA1_5339282354,PLATINUM,I
NA1_5339252273,PLATINUM,I
NA1_5339237899,PLATINUM,I
NA1_5338599069,PLATINUM,I
NA1_5338015994,PLATINUM,I
NA1_5335825876,PLATINUM,I
NA1_5335796980,PLATINUM,I
NA1_5334627979,PLATINUM,I
NA1_5334534527,PLATINUM,I
NA1_5334279029,PLATINUM,I
NA1_5334224169,PLATINUM,I
NA1_5334077426,PLATINUM,I
NA1_5334053643,PLATINUM,I
NA1_5333931045,PLATINUM,I
NA1_5333737456,PLATINUM,I
NA1_5333706074,PLATINUM,I
NA1_5333660431,PLATINUM,I
NA1_5333631503,PLATINUM,I
NA1_5333601554,PLATINUM,I
NA1_5332484459,PLATINUM,I
NA1_5332458021,PLATINUM,I
NA1_5332088284,PLATINUM,I
NA1_5331808468,PLATINUM,I
NA1_5331783214,PLATINUM,I
NA1_5331600135,PLATINUM,I
NA1_5331560215,PLATINUM,I
NA1_5331535370,PLATINUM,I
NA1_5331528002,PLATINUM,I
NA1_5330964692,PLATINUM,I
NA1_5330952563,PLATINUM,I
NA1_5330673528,PLATINUM,I
NA1_5330643615,PLATINUM,I
