tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood
PLATINUM,I,zhXnjF-6YW7YLmYf-YExhV8jMRsVR1dxtBbOnvGYbJRMiKZdBOuTFUnryAXYrKBR5kD_rT2_wwWVLA,7,142,140,False,False,False
PLATINUM,I,oAe30ZFPVuVyUie7WjqzzmWTXGu51uvDfcUvEu7gOH34LuhddVEQum2Sa0UWZtU-diJ1iqfepzuKKg,38,1,5,False,False,False
PLATINUM,I,wrhJCH_hRDeVxGjPCqJvZar9GvVcW1hX9zbateaiK10VSy97uie_PZx8ASxz-8PDodDosDImyfIYtQ,47,95,91,False,False,True
PLATINUM,I,iWf9Gy8acoM8MYnqF_IXmmE4xLMik3wHcR924YiHs4Y6_Lx0VFUyBRwHiK3F6KQmXH8mjSkRq1Cy5g,1,18,20,False,False,False
PLATINUM,I,9HCZR6_IbSZTfg3Xmm-mFiZ8vww1mIvuFvhE_rrS1Yk3b243Vz3rYbd4HQDz6b5eTCmVOP_lRoR5Og,75,16,23,False,False,False
PLATINUM,I,660KrIQ-D1wnZVskC3ojdYJCWXsitAziUwEEB15C6qubkJoiOT7kWNm1VGRIv9F32xnX0VvnT9WHxQ,16,26,12,False,False,False
PLATINUM,I,SFXifxB8OtyXL64dJGWjEMvYfQSxl8wRpUWcTLW4u_SFe2irMJLSnyeu9s064MUwIWyWm5XBfDP5dw,43,74,74,False,False,False
PLATINUM,I,Nvx3GApIfNhcrYbwCeTsb18E73kPcdc_StJ0VfpbW1Mgo8OtJL3dd0JeA5KUxSpu6UbIf1i4UuMC_w,34,262,272,False,False,True
PLATINUM,I,hycn5_bu-gKcuBumQdouWTxnevCDX9iqrqNCFyMyHtlFJDjiZClJK8TlwDvLNDiiGIR2nTLLvBb5wQ,57,221,228,False,False,False
PLATINUM,I,6a4FdgIRTkSjiX2D-W4JptpN1j8F3PCRK1m2sfEsmzBxbO8GCmm-0RAC7wvXJfxsX21VjFXuHu2EJQ,89,39,22,False,False,False
PLATINUM,I,nJX-ausphmKlDUbWxmhZj5lzbOmtjHTq8859_RDxzwTe1-bwnByOarMRNB4_xn2ukSDdzmdfBzYOhA,29,37,30,False,False,False
PLATINUM,I,4f3OnuGxIAjIxlUFBGOa8o38gOozp669oZ6vpX5GOiLL0_jaT3wpTX1HcyGOuOdwX2n5LcbxrDTgCA,55,105,91,False,False,False
PLATINUM,I,YCYXNqvzsDl5VA-08fFBaICWUaWJ85GeX-hZIH8MSMUg4QjSiZqTTIi0bvOfB7yZ-B_Lb_ftem8XuA,82,16,21,False,False,False
PLATINUM,I,RSTjR-tubY99KDstMxmVwnHR6ROwfSxTtp12XYMkCDZbbFwMS6H8eP1g6_TP4f4DV8yXpLSUFYLj0g,5,128,102,False,False,False
PLATINUM,I,DiFFo35Ce7c9BasS17sIXHEv6GIUXybrLniwpFUwz9rvgS4oBmmF9xDIlAUFrS4MUiosM09KUkLUVA,1,10,7,False,False,False
