player,session_length,winrate
-cFMvwcJXzBU5h1LJsFFSX04nV2MpnW6YFh4cqZMuBbjYDMxKPeQ_BUPo4wHFqVV_rsGynkd9g2RSQ,19,52.63
0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,19,36.84
0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,19,57.89
0trH6NHDyAAMKVToJHSJsyKEqlPB9RVX3rgGCGa489FtgllVaGqVr2pd7d74BljUyiP-nnCXX4zdgw,19,63.16
28M-WlXmD_yb1a0qdzWZxudJSHn3IF1A537wKPxPuSwVB2zbi01brgg3wsZeDlxFO1N-DV3JLMFkIw,19,42.11
4ubcAkMrriBw5skBuBYUUYToPsrE_Ba0rmRAPiK5lOeSLnQvnB6nXo4GPElCib69JCKLJHTxJw6rCg,19,63.16
6cMgNQ_HPEFq8WKHORgt0fQHyoHMgklgh-Tiq66FRcDtvND_5Q9PsAqj56dLcAlvtk2TgbDpoJisaQ,19,36.84
6cMgNQ_HPEFq8WKHORgt0fQHyoHMgklgh-Tiq66FRcDtvND_5Q9PsAqj56dLcAlvtk2TgbDpoJisaQ,19,36.84
7dDVWIsJV_97hHsfwM-FVqAlMfpufNHA9UMQa74Y8uCTlo7-A_F90c74y_PEmrx9wmintsXlv2Ko6Q,19,52.63
7dDVWIsJV_97hHsfwM-FVqAlMfpufNHA9UMQa74Y8uCTlo7-A_F90c74y_PEmrx9wmintsXlv2Ko6Q,19,36.84
7dDVWIsJV_97hHsfwM-FVqAlMfpufNHA9UMQa74Y8uCTlo7-A_F90c74y_PEmrx9wmintsXlv2Ko6Q,19,52.63
aFTrlpSMuJDUppkLQYc3zbN9wX9b18OlnL7yeO6Ey4L9tHbfjAxnVHeUvj0dTdbVBmIB1LpthDFSzA,19,36.84
