player,session_length,winrate
CcGRvkgw8RH1ZlDEBhkVQ9OSzOsBpYAkyQxb9i-APrBU-9cceM9k7XmD2UANOktWqfyVouRBmbxKMw,15,53.33
CLP3aN_FHr2l1bT80PbG0RmwiSG67GTIG91i2X0zfxhbWYD9JXnmCXyXgL2GaKIacox3r7w0rSQACg,15,53.33
CnfgWDlEnEPYuL0FX7jIbRKVC-3j_d76gy8MJUt9aHCGueUX4m3VLma5RByxgmP8fEBBBa_w8r-1gQ,15,46.67
D9widVfh-kg5lBNXRmHPdZ-XrL9JLn6yxFb2KVW5-dc9vL_658os7z08U0HEFebmzI_r1rnFRADptA,15,53.33
DAywLkf0cB0ET8M6JS4ZU31adkUpb5uywa-RnLVakLAEFDegMdgn8VE12y6LPKzjGwIL97N3HuM2Fg,15,40.0
dEo8LUEM6qb8lfzCIY_i1UdrwF1xBB9a_bs-9oDdvJ13esgXttdOgpmQn_kfn3OoQLTzYx3XTqF6QQ,15,60.0
DFYKIKOcg5Iu8uw8Btn7bSbBMeHtr8nn6XnwzukZCrpctDJ2LkkFczSRLgyJCF6MSuYk7dB_VSU0TQ,15,66.67
DFYKIKOcg5Iu8uw8Btn7bSbBMeHtr8nn6XnwzukZCrpctDJ2LkkFczSRLgyJCF6MSuYk7dB_VSU0TQ,15,60.0
dIbE8xkNpIRD6flUNT6UN8C6lKvbV7d-ktQChjRHCNR_ssqmm51rDwSS3Ml_wx5Mup-9GRqvbCLhZw,15,53.33
DMqbwUHagr-bxNooUcbC1Oz_TGd5LPz1Zsj_Sg6s74IO6zwDYrE6hl9KfUSJVvaNIY1RjAyB7tQJiw,15,60.0
DYsLSoi5UDkWmrBH_wKnAFWcF9Fasiz_hKjfPxHXTYAZCYqNYaG8AglSukplybnZKdeljyUBWgextA,15,53.33
E7uWhBg4TilfxicoFxWpDiwfK8Kb5NhGe12I3tIX_SXzccv7kAW7L4NPrA76ggiW8QdhN67PeS389A,15,53.33
E8OoBlfhAlr7sMSNr7L1BE3fuiKMpI_a5OZs8Nl-YY22HnKZTsqkXDcH0pn5XcUVfV0OIXoqonpVHA,15,26.67
EDTSSW3iIbUApOk9ifa7c3gJHeiexBF6tOqzsfOtFUkR39XIP_SHqQWbUF6dfjhnuuPZf38ZDSFaMQ,15,60.0
eUZo-MST_2oQHdtsi57R00nG4HxTr66nDa_JXH93H1i4Ly9kGHkupUB0qUY47f5n3Ii2SlKE3GdbJg,15,53.33
ft3QEr_8p0USHsf0Dj94EoRgfhXCyd4u_2ocZK2MtZp1LOCoFjhDhzFvLvOxm34IDX3pzHNspsdTMQ,15,53.33
ft3QEr_8p0USHsf0Dj94EoRgfhXCyd4u_2ocZK2MtZp1LOCoFjhDhzFvLvOxm34IDX3pzHNspsdTMQ,15,53.33
FUkZ9M4nZJJT9oZY_8UCtWAqmH8rBRAt7ATubDftPIFaIwYiZEF6UPK5dLvdthpW7tRX5YKSrgj9bQ,15,53.33
FUkZ9M4nZJJT9oZY_8UCtWAqmH8rBRAt7ATubDftPIFaIwYiZEF6UPK5dLvdthpW7tRX5YKSrgj9bQ,15,53.33
fV3GbKUIvjE4wkOoe4iUUirR6fWV1IFrZf6yqocjKwpm1MAQm2hC7gGhkyd2olvmQm-mcVp8xm-wDQ,15,40.0
G527mAghn2ebyh3pH1dY_e9mZSvjWjUnc_p0t1_FH6UK_-0Dc_PG94wT1Dx5JUMjYUPo0UGft007OA,15,66.67
gecq5dv0UGjv1lSza2pAEumoViWBBcA0loxRtdvpAxgfQZNj4yLeiR-EuJ5RTdrum2rUcWB9T8fnBQ,15,80.0
gecq5dv0UGjv1lSza2pAEumoViWBBcA0loxRtdvpAxgfQZNj4yLeiR-EuJ5RTdrum2rUcWB9T8fnBQ,15,53.33
gIcgIsns-qWtnrxNkhGnfDHFk2X9VfnsOjeec7p8QFRWMp3oN3myGUsbZdIj9nTPItI0hnxny0eHHw,15,60.0
GqGy8G5Q5cDXvM-tYiZ0Y95Cri1jldZ6iZuwavCIjAjb0Myhahvge2oEAdfM0K1kDlFFRUxvRubz3w,15,26.67
GRy82NjLWEuL-LYoECO0iH_sE-4EN2MF9o0_dE25LcZL5PJTz9fSYC40N8eQPtlm7p6qvOd3Zv4cng,15,46.67
guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,15,46.67
guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,15,40.0
H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,15,60.0
HknNBqeD1W7WBLZAqYpQedeTB6azolTesBqch-VI8FyLZcotzmuUwmKmqBqSCoKTNySgtdBfD_HbPw,15,33.33
HknNBqeD1W7WBLZAqYpQedeTB6azolTesBqch-VI8FyLZcotzmuUwmKmqBqSCoKTNySgtdBfD_HbPw,15,66.67
HwV3dc6JMX7p_MXeZft4YHTRHZtjpFUDl1QcjM3RefrziGIIfl9Ah7WxE7ZMUvtZTNruD3_S7QO6Jw,15,53.33
