player,session_length,winrate
-cFMvwcJXzBU5h1LJsFFSX04nV2MpnW6YFh4cqZMuBbjYDMxKPeQ_BUPo4wHFqVV_rsGynkd9g2RSQ,14,57.14
-wlJeanj9f21qvI9bJnhuI01aHAhMs3mAYFfIpf5BTcwZ-wMeX6HlYlKkuR2UiSd40p5AgAwn63Xyg,14,42.86
0kOqJx2pL3DBLp5wvdq2DLFeRfFpe1mkaX-jsrCEsTD2xU4Yc22RklAd1Z9d-4fne32OYao9qQCkag,14,42.86
0kOqJx2pL3DBLp5wvdq2DLFeRfFpe1mkaX-jsrCEsTD2xU4Yc22RklAd1Z9d-4fne32OYao9qQCkag,14,42.86
0nbVXRvvel0ni5Pd0_1_VqfSiQM7LMTS2KealD_5ufqTzqb_G_mefxxApn58JPBpwb-S9ruvRTd9sg,14,35.71
0NZnS_Da4JCeR_t2GXrum3CTCkeYkUFPTlH_wuF5SYGCZ3HHVwknvyCtQlTAZ3UYf771Jq8pih6sAQ,14,35.71
0trH6NHDyAAMKVToJHSJsyKEqlPB9RVX3rgGCGa489FtgllVaGqVr2pd7d74BljUyiP-nnCXX4zdgw,14,50.0
0trH6NHDyAAMKVToJHSJsyKEqlPB9RVX3rgGCGa489FtgllVaGqVr2pd7d74BljUyiP-nnCXX4zdgw,14,50.0
1fzGz8NcxE2HSh3lpIZbJLPensUETIz3gdeIMQDIcP2YICamnHI8mjAjUybJi95Z9EasfcPm81qAjg,14,50.0
2u7JB5wVVfuUtOCgbiVSIzE_yBWkYwOxcWX225FfPWzAZUQQNkerwv3fnyNY9woLc_pvolrgDzNrdQ,14,50.0
3AlVkN2OzdxVMIDF70_LGCKTsJNyPggN9Fw9HztS-8-f2kOOxexr7LtVM9z_d_NMwDxj6K1V5ssVHg,14,28.57
3Cjhl7nPiVVp16DmPabaaCRzT9Xrg9JxedOVb_qBFur5sKsYKFeiy7FFt2_aXcUhinR_PIYNJanSuA,14,42.86
3jetPpnJDLY7r91qpA903M7TGqma8-UmX67d9AEQLpyitz7DejmMjyWh75173Qguul9qyZYrC698fg,14,50.0
3NV4QzVrXKmNHxXYKj3bAMCajiNpc-xNEKliw4k-gwDsIstRhGvBSGQT2OnDZuVDzQfMHhGKFHXuFw,14,71.43
3r1F3ftqRCKLKvVDgFWve62awsYqXon3I7izgshmp1lvqpD2d53jFxs6bxuABiNnITSsxJmdICOQag,14,50.0
3YfrZfh2eHVaCR6tDXGO8CEFJOrb7lHC2gd-G5nkRmSTYoJ12bCEX1w7SbZnbuybA-qlWlQMfVjCvQ,14,50.0
