puuid,rank
BzCr3ncoKGEEgzkl3Ugt7rNbXyzgwCjq9yMQu3HlN1cC8zrwfYF6XBnaLmTkDg_hOX9Ljwq5LhPa_g,GOLD IV
yX9JBV7vMV0IjlylTOLqs8G8TBpKizdPae8zjw3-xIg8HlaJo1ZlYLu5pi5tb59AMZzy2yr0iG14kw,SILVER III
JlDIGMi7VAoYOl_4EOXYob6hU4-0vnNrAlCGGT3E-qKi70RqB3sU7uQmBLtSrdFio1RfS_Kp10B-hA,SILVER IV
_tjagbILvrrEOWbJCjmy4IEgVniAcQ66eU0xwm0II0WQ2YkLEiKZ4jWIdEn7EcO5xxNxw8vEtVJw8g,SILVER III
dCrZJcbkXebiHgMxSLwM8p2nsjT6BGOJeoF39tywRokmd03xtJme2vVLnwG6MMqT7mWXxP_zg_9H8g,SILVER III
ZsNCQxgMb7V6T42ukIGjILw41VLqtxsn7s0XFeZjZFXKK2H8g_BOqwIjkSfd6UPZfOEajZ-Z_M7Hfg,SILVER III
LqFRiFymA_ooaJoa62HN-VOFOt0UZjJ-0FU5pMPl04u5t1g0rBLdsGUhLtJt6sufIWN0NOPHAFJVdg,SILVER II
4GvgoeUNH0S_QWtHqt6AXel7zlGbDdj0mfvNmqET7DXAPcKhrtJO8U8D339TmdxG-AQCjT5xJA6mjQ,GOLD IV
TmNghfEtJqtqSZfv6rYxS_jxeTMbtvSE2P1er5HxCGPYUZ5heQi8iDla6Tw6ULFIj_yqrLDuRoSqCA,GOLD IV
e45LH2YdDPd24CBHrdBV64FtMW5WptlN3lumayEoCI3OKi3Mz0GbNPQ-uaEBLDVXWhWMaTUkicY1Lg,SILVER II
4sJhD0Q4IpZu1Lxwb8WS4VW33g9ipIWBZZ9k8vuSzuPfPQ-dr2pxbtFU7Z-QToJAGlGyEB5LvZo8kg,SILVER I
1foJK15ODBUfvBx20dpRioMaLb7E4N3vLwq7S02iQo6o4uFqvB21eVzF0pZX7hT4K_0f0j-zZkpmmQ,SILVER II
