match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,game_end_datetime
EUW1_7804178453,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774869454956,1774871717605,2262,True,Darius,13,7,3,2026-03-30 11:55:17.605
EUW1_7803309233,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774799169274,1774800091058,922,True,Yorick,0,1,2,2026-03-29 16:01:31.058
EUW1_7803235602,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774795786885,1774798534439,2747,True,Kayle,17,2,6,2026-03-29 15:35:34.439
EUW1_7803145534,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774791702285,1774793842830,2140,True,Jax,7,5,3,2026-03-29 14:17:22.830
EUW1_7803083006,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774788813184,1774790419839,1606,False,Veigar,3,7,1,2026-03-29 13:20:19.839
EUW1_7803043819,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774786547595,1774787914420,1367,False,Darius,1,3,1,2026-03-29 12:38:34.420
EUW1_7802998469,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774783498918,1774785602324,2103,True,Darius,5,5,3,2026-03-29 12:00:02.324
EUW1_7802964547,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774781244266,1774782678939,1435,False,Kayle,2,3,2,2026-03-29 11:11:18.939
EUW1_7800648196,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774626600389,1774628077516,1477,False,Kayle,0,3,3,2026-03-27 16:14:37.516
EUW1_7800614711,9QU1RJrTmcqoiJUFdKJ_EFqDeJXJj3cNbTKOQt4m1zMwEZMG0-PJSggQQVD6-_Qf8Jif9sCv4NXC7A,1774624586911,1774626197573,1611,True,Veigar,9,1,12,2026-03-27 15:43:17.573
